scorer,DeepCut_resnet50_190708Jul8shuffle1_500000,DeepCut_resnet50_190708Jul8shuffle1_500000,DeepCut_resnet50_190708Jul8shuffle1_500000,DeepCut_resnet50_190708Jul8shuffle1_500000,DeepCut_resnet50_190708Jul8shuffle1_500000,DeepCut_resnet50_190708Jul8shuffle1_500000,DeepCut_resnet50_190708Jul8shuffle1_500000,DeepCut_resnet50_190708Jul8shuffle1_500000,DeepCut_resnet50_190708Jul8shuffle1_500000,DeepCut_resnet50_190708Jul8shuffle1_500000,DeepCut_resnet50_190708Jul8shuffle1_500000,DeepCut_resnet50_190708Jul8shuffle1_500000,DeepCut_resnet50_190708Jul8shuffle1_500000,DeepCut_resnet50_190708Jul8shuffle1_500000,DeepCut_resnet50_190708Jul8shuffle1_500000,DeepCut_resnet50_190708Jul8shuffle1_500000,DeepCut_resnet50_190708Jul8shuffle1_500000,DeepCut_resnet50_190708Jul8shuffle1_500000,DeepCut_resnet50_190708Jul8shuffle1_500000,DeepCut_resnet50_190708Jul8shuffle1_500000,DeepCut_resnet50_190708Jul8shuffle1_500000
bodyparts,Abdomen,Abdomen,Abdomen,Wax,Wax,Wax,Sound Stimulus,Sound Stimulus,Sound Stimulus,Left Knee,Left Knee,Left Knee,Left Foot,Left Foot,Left Foot,Right Knee,Right Knee,Right Knee,Right Foot,Right Foot,Right Foot
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,729.640429019928,454.2825005054474,0.9999998211860657,699.082399725914,140.74906384944916,0.9999979734420776,133.15157175064087,19.58585625886917,0.22855716943740845,637.7148008346558,379.11759573221207,0.9999995231628418,698.4233858585358,515.1706989407539,0.9999912977218628,783.1860499382019,390.5021605491638,0.9999998807907104,825.0232949256897,520.2515969276428,0.9999980926513672
1,739.1959360837936,454.2400860786438,1.0,699.9352365285158,140.1852144151926,0.9999987483024597,133.28853845596313,19.521107703447342,0.2209741175174713,639.1779680252075,378.2340257167816,0.9999973773956299,711.8326315879822,501.60546922683716,0.9999721050262451,790.6906244754791,386.96049189567566,1.0,844.4624362885952,514.8920426368713,0.9999998807907104
2,735.8231468200684,447.46266651153564,0.9999996423721313,700.6727474927902,141.00627374649048,0.9999979138374329,133.2355761528015,19.51598995923996,0.22615158557891846,635.2795578241348,365.5424106121063,0.9999905824661255,789.4444017410278,535.6933896541595,0.0023936331272125244,792.9484868049622,388.21889097988605,1.0,849.8478271961212,523.2288352847099,0.9999997615814209
3,731.7656508535147,454.1714470386505,0.9999999403953552,700.1363012343645,142.3749976158142,0.9999996423721313,133.27388906478882,19.5267396569252,0.22136998176574707,627.4810658693314,363.28692477941513,0.9999976754188538,675.7232994735241,498.06437385082245,0.9999958872795105,788.5336157083511,387.69007298350334,1.0,838.4716320037842,518.670686006546,0.9999998807907104
4,728.267560005188,455.7473819255829,0.9999998807907104,698.6024603843689,141.56811666488647,0.9999985098838806,133.2103910446167,19.735049724578857,0.22737765312194824,627.3620059490204,364.05167127773166,0.9999999403953552,677.2114785909653,504.5611891746521,0.9999976754188538,789.5725650787354,385.4955725669861,0.9999998807907104,841.2225847244263,506.97111415863037,0.9999940395355225
5,734.0564064979553,453.9473341703415,0.9999999403953552,700.7375485301018,140.84601020812988,0.9999984502792358,133.2612681388855,19.723734617233276,0.22177991271018982,642.1319705247879,383.0867495536804,1.0,688.1017503738403,528.3373997211456,0.9999854564666748,795.4115520715714,385.0268678665161,0.9999999403953552,849.5854933261871,504.91790866851807,0.9999997615814209
6,731.7696777582169,452.7803171277046,0.9999999403953552,700.3758070170879,140.92282420396805,0.9999977946281433,133.24982595443726,19.70054465532303,0.22202718257904053,666.744325876236,409.1173086166382,0.9999992847442627,716.0534972772002,547.2671334147453,0.9999999403953552,794.7615668773651,386.85682713985443,0.9999998807907104,854.8420767784119,512.2776041030884,0.9999995827674866
7,731.2509824633598,456.40410804748535,0.9999997615814209,700.3799385428429,141.0512146949768,0.9999991655349731,133.2603416442871,19.69825655221939,0.21969643235206604,672.4112658500671,412.84789991378784,0.9999998211860657,722.0742934942245,547.7363040745258,1.0,789.8041533231735,388.5493306517601,1.0,839.621684551239,509.7462693452835,0.9999979734420776
8,734.0177965164185,459.9380874298513,0.9999999403953552,701.0231409072876,140.31818702816963,0.9999977946281433,133.1844620704651,19.694074362516403,0.22338703274726868,677.5626519918442,417.8615674972534,1.0,728.9875388145447,546.8266967535019,1.0,790.5239255428314,387.36094200611115,1.0,841.0979211330414,511.7015953063965,0.9999992847442627
9,728.5590672492981,457.06861114501953,0.9999998807907104,700.8698410987854,140.1872238367796,0.9999983310699463,133.2298412322998,19.637729704380035,0.2237781286239624,675.7668034732342,417.5004644393921,1.0,725.4597690105438,548.5305677056313,1.0,788.3695825338364,388.22531984746456,1.0,835.4972945451736,510.1684145927429,0.9999994039535522
10,730.6386227607727,456.6923222541809,0.9999995231628418,701.3342151641846,140.56520825624466,0.9999985098838806,133.20575046539307,19.618686348199844,0.22212350368499756,678.1126186847687,418.7369974851608,1.0,731.2499865293503,548.2563574910164,1.0,788.763396859169,387.9522879347205,1.0,838.550687789917,513.6486647129059,0.9999998807907104
11,731.9885598877445,458.31439781188965,0.9999996423721313,700.5416003465652,139.75335502624512,0.9999982118606567,133.19935417175293,19.624664157629013,0.22452384233474731,676.2228038460016,416.32716703414917,1.0,729.7058236598969,547.5435270965099,1.0,790.2447507381439,387.17228400707245,1.0,839.7816536426544,510.55731439590454,0.9999997615814209
12,728.6521787643433,456.2008409500122,0.9999998807907104,700.8319775462151,139.852923899889,0.9999985694885254,133.29781866073608,19.71832138299942,0.21986982226371765,674.0297863483429,414.83777689933777,1.0,725.7585574388504,544.2802157402039,0.9999999403953552,786.5706166028976,386.29063868522644,1.0,831.9567685127258,502.3651728630066,0.9999997615814209
13,726.947765827179,457.57614517211914,1.0,700.2203648537397,139.74318972229958,0.9999985694885254,133.31393814086914,19.698488265275955,0.21653404831886292,669.7681812047958,407.24668192863464,0.9999997615814209,720.7310018539429,546.3596111536026,1.0,787.0841429233551,386.894966006279,1.0,832.1898159980774,502.23257541656494,0.9999998807907104
14,731.0914176106453,460.36489364504814,0.9999995827674866,700.8839291334152,140.60539531707764,0.9999977350234985,133.31438779830933,19.69629043340683,0.21634697914123535,670.1509997844696,409.37648582458496,0.9999982118606567,720.3948595523834,548.6692163348198,1.0,789.1973258256912,388.3889909982681,1.0,834.846827507019,507.10926127433777,0.9999996423721313
